symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_rupees,reason
AAKASH,2025-12-22,2026-01-06,8.84000015258789,8.800000190734863,-0.5,-10.05,Time Stop
BTML,2025-12-22,2026-01-06,8.199999809265137,8.220000267028809,0.19,3.88,Time Stop
BSL,2025-12-22,2026-01-06,155.63999938964844,145.74000549316406,-6.41,-128.22,Time Stop
ADL,2025-12-22,2026-01-06,82.22000122070312,78.47000122070312,-4.61,-92.22,Time Stop
BALKRISHNA,2025-12-22,2026-01-06,18.479999542236328,18.649999618530273,0.87,17.4,Time Stop
BROOKS,2025-12-22,2025-12-29,93.83000183105469,78.9189576589556,-15.94,-318.83,Stop Loss
OLAELEC,2025-12-22,2026-01-06,34.63999938964844,44.51220504900269,28.45,568.99,Take Profit
3PLAND,2025-12-22,2026-01-06,38.0,37.04999923706055,-2.55,-51.0,Time Stop
CCCL,2025-12-22,2026-01-06,18.729999542236328,18.059999465942383,-3.63,-72.54,Time Stop
COFFEEDAY,2025-12-22,2026-01-06,34.66999816894531,34.880001068115234,0.56,11.11,Time Stop
BBTCL,2025-12-22,2026-01-06,193.69000244140625,190.0800018310547,-1.91,-38.28,Time Stop
ATL,2025-12-22,2026-01-06,27.360000610351562,27.959999084472656,2.14,42.86,Time Stop
OPTIEMUS,2025-12-24,2026-01-08,503.0,480.95,-4.43,-88.67,Time Stop
PRSMJOHNSN,2025-12-29,2026-01-13,135.49000549316406,128.89999389648438,-4.91,-98.28,Time Stop
AKSHARCHEM,2025-12-30,2026-01-14,235.9,227.13,-3.77,-75.35,Time Stop
AMNPLST,2025-12-31,2026-01-16,185.07,177.7,-4.03,-80.65,Time Stop
BAJAJINDEF,2026-01-01,2026-01-16,363.75,341.25,-6.24,-124.71,Time Stop
TARIL,2026-01-02,2026-01-08,336.3999938964844,284.1803581561095,-15.57,-311.46,Stop Loss
ABMINTLLTD,2026-01-06,2026-01-20,42.6,35.68305109212652,-16.29,-325.74,Stop Loss
BCONCEPTS,2026-01-06,2026-01-21,330.6499938964844,282.45001220703125,-14.63,-292.55,Time Stop
ABDL,2026-01-06,2026-01-12,551.35,489.28983118538986,-11.31,-226.12,Stop Loss
KAYNES,2026-01-06,2026-01-21,3791.4,3490.8,-7.98,-159.57,Time Stop
IMFA,2026-01-06,2026-01-21,1293.5999755859375,1092.9000244140625,-15.56,-311.3,Time Stop
BOHRAIND,2026-01-06,2026-01-21,17.0,15.81,-7.05,-141.0,Time Stop
AHLADA,2026-01-07,2026-01-16,57.90999984741211,50.532304461867696,-12.79,-255.8,Stop Loss
BEDMUTHA,2026-01-07,2026-01-22,122.0,107.49,-11.94,-238.87,Time Stop
CINEVISTA,2026-01-07,2026-01-21,17.690000534057617,14.578478953324096,-17.64,-352.78,Stop Loss
WEBELSOLAR,2026-01-07,2026-01-22,88.41,77.81,-12.04,-240.79,Time Stop
AKI,2026-01-07,2026-01-22,6.39,6.38,-0.21,-4.13,Time Stop
AROGRANITE,2026-01-07,2026-01-22,30.17,28.21,-6.55,-130.93,Time Stop
PCJEWELLER,2026-01-07,2026-01-22,10.869999885559082,10.65999984741211,-1.98,-39.64,Time Stop
CHEMFAB,2026-01-07,2026-01-22,440.55,401.0,-9.03,-180.55,Time Stop
AGIIL,2026-01-07,2026-01-22,296.25,258.5230275341567,-12.78,-255.7,Stop Loss
BHARATGEAR,2026-01-07,2026-01-22,108.70999908447266,112.3499984741211,3.3,65.97,Time Stop
ACEINTEG,2026-01-08,2026-01-23,21.25,19.3,-9.23,-184.53,Time Stop
GMDCLTD,2026-01-08,2026-01-23,567.75,518.7999877929688,-8.67,-173.44,Time Stop
ASIANENE,2026-01-08,2026-01-23,258.05,240.95,-6.68,-133.53,Time Stop
ASPINWALL,2026-01-08,2026-01-23,227.0,219.5,-3.35,-67.08,Time Stop
ARENTERP,2026-01-08,2026-01-23,44.790000915527344,43.099998474121094,-3.82,-76.46,Time Stop
HBLENGINE,2026-01-12,2026-01-19,858.9332885742188,754.0240883985828,-12.26,-245.28,Stop Loss
HEG,2026-01-13,2026-01-28,550.7,569.3,3.33,66.55,Time Stop
A2ZINFRA,2026-01-14,2026-01-29,14.970000267028809,14.140000343322754,-5.59,-111.89,Time Stop
JAIBALAJI,2026-01-16,2026-02-01,72.35,67.77,-6.38,-127.61,Time Stop
ASHAPURMIN,2026-01-16,2026-01-23,814.75,705.9655631874168,-13.4,-268.04,Stop Loss
ACCURACY,2026-01-19,2026-02-03,5.22,5.2,-0.43,-8.66,Time Stop
BRNL,2026-01-19,2026-02-03,20.15,20.24,0.4,7.93,Time Stop
TARC,2026-01-20,2026-02-04,157.80999755859375,157.00999450683594,-0.56,-11.14,Time Stop
AARVI,2026-01-21,2026-02-05,118.64,127.77,7.65,152.91,Time Stop
BHAGERIA,2026-01-21,2026-01-30,157.08,183.59175104065207,16.83,336.56,Take Profit
BANKA,2026-01-21,2026-02-05,60.28,61.47,1.92,38.48,Time Stop
BCONCEPTS,2026-01-21,2026-02-05,282.45001220703125,284.0,0.5,9.98,Time Stop
BLACKBUCK,2026-01-21,2026-02-05,560.4500122070312,606.4000244140625,8.15,162.98,Time Stop
CAPTRUST,2026-01-22,2026-01-30,16.51,13.92348059340446,-15.72,-314.33,Stop Loss
ATALREAL,2026-01-22,2026-02-06,27.52,27.22,-1.14,-22.8,Time Stop
KEI,2026-01-22,2026-02-03,3843.8486328125,4429.166946247224,15.18,303.55,Take Profit
BAJAJCON,2026-01-22,2026-02-03,296.9,354.14218241265064,19.23,384.6,Take Profit
THANGAMAYL,2026-01-22,2026-02-06,3632.89990234375,3400.199951171875,-6.46,-129.11,Time Stop
AKI,2026-01-22,2026-02-06,6.38,6.58,3.08,61.7,Time Stop
ICIL,2026-01-22,2026-02-04,232.5,286.7878912673092,23.3,465.99,Take Profit
AGIIL,2026-01-22,2026-02-06,250.9,246.9,-1.64,-32.89,Time Stop
AVG,2026-01-23,2026-02-09,139.22,149.58,7.39,147.83,Time Stop
AROGRANITE,2026-01-23,2026-02-09,27.43,29.08,5.97,119.31,Time Stop
ATLANTAA,2026-01-23,2026-02-09,41.58000183105469,44.369998931884766,6.66,133.2,Time Stop
ASHAPURMIN,2026-01-23,2026-02-09,681.5999755859375,647.4500122070312,-5.06,-101.21,Time Stop
CELEBRITY,2026-01-23,2026-02-06,7.150000095367432,9.628381337913863,34.61,692.25,Take Profit
KPIGREEN,2026-01-23,2026-02-09,410.05,418.9,2.11,42.17,Time Stop
ELECON,2026-01-28,2026-02-09,389.5,480.15320059623764,23.22,464.48,Take Profit
RAIN,2026-01-29,2026-02-13,164.6199951171875,155.08999633789062,-5.84,-116.78,Time Stop
MTARTECH,2026-01-30,2026-02-10,2931.5,3560.7282313936157,21.41,428.29,Take Profit
ASMS,2026-01-30,2026-02-05,10.69,13.765319423580419,28.72,574.36,Take Profit
ADANIGREEN,2026-02-01,2026-02-09,806.8,975.708821105432,20.89,417.71,Take Profit
SANSERA,2026-02-03,2026-02-13,1852.0,2259.6104448365995,21.96,439.18,Take Profit
AVANTIFEED,2026-02-03,2026-02-10,959.8,1159.255110152714,20.73,414.62,Take Profit
BSOFT,2026-02-03,2026-02-13,447.45,394.92590667229535,-11.79,-235.77,Stop Loss
PGIL,2026-02-03,2026-02-11,1772.1,1507.1738741973647,-15.0,-300.0,Stop Loss
RELINFRA,2026-02-04,2026-02-06,132.66000366210938,119.95791076440455,-9.62,-192.5,Stop Loss
APEX,2026-02-04,2026-02-13,376.2,483.0408841140426,28.35,567.0,Take Profit
ASMS,2026-02-05,2026-02-11,14.33,11.509999839179802,-19.73,-394.58,Stop Loss
AWFIS,2026-02-09,2026-02-13,396.9,336.6121816340316,-15.24,-304.79,Stop Loss
NEWGEN,2026-02-09,2026-02-13,562.2000122070312,478.1157719778456,-15.01,-300.13,Stop Loss
